"Taxa","Session","T","U","S.obs","SC(T)","SC(2T)","Singletons","Doubletons"
"BenthicInvertebrates","1",8,149,25,0.995729103111653,0.999885141821333,1,2
"BenthicInvertebrates","10",8,168,27,0.990740740740741,0.998760003414963,2,0
"BenthicInvertebrates","11",8,176,26,1,1,0,0
"BenthicInvertebrates","12",8,169,27,1,1,0,2
"BenthicInvertebrates","13",8,170,28,0.989705882352941,0.996462849396117,2,1
"BenthicInvertebrates","14",8,186,28,0.996578690127077,0.999907989953648,1,2
"BenthicInvertebrates","15",8,161,27,1,1,0,4
"BenthicInvertebrates","16",8,130,26,0.988034188034188,0.998397542874721,2,2
"BenthicInvertebrates","17",8,176,27,1,1,0,1
"BenthicInvertebrates","18",8,179,26,1,1,0,1
"BenthicInvertebrates","19",8,167,26,1,1,1,0
"BenthicInvertebrates","2",8,171,28,0.983981693363844,0.99226343332386,3,1
"BenthicInvertebrates","3",8,155,25,1,1,0,2
"BenthicInvertebrates","4",8,136,26,0.973145780051151,0.98702987351353,4,0
"BenthicInvertebrates","5",8,149,25,1,1,0,5
"BenthicInvertebrates","6",8,163,26,1,1,1,0
"BenthicInvertebrates","7",8,159,27,0.995997712978845,0.999892365606154,1,2
"BenthicInvertebrates","8",8,146,27,0.99041095890411,0.999447210863014,2,3
"BenthicInvertebrates","9",8,167,27,0.995342648037259,0.999376289142856,1,1
"Diatoms","1",8,137,25,0.980006347191368,0.990343409477227,3,1
"Diatoms","10",8,125,25,0.995692307692308,0.999969557369505,1,3
"Diatoms","11",8,124,25,0.997028862478778,0.999998991494511,1,6
"Diatoms","12",8,100,22,0.989230769230769,0.999923893423762,2,6
"Diatoms","13",8,113,24,0.958143984692657,0.973165812908881,5,1
"Diatoms","14",8,133,26,0.991228070175439,0.999882393994221,2,5
"Diatoms","15",8,124,26,0.989736070381232,0.999723969860945,2,4
"Diatoms","16",8,110,24,0.987272727272727,0.999266298054545,2,3
"Diatoms","17",8,117,25,0.97340930674264,0.996438984166048,4,4
"Diatoms","18",8,127,25,0.996325459317585,0.999991734725004,1,4
"Diatoms","19",8,117,26,0.965215662890082,0.993298370077801,5,4
"Diatoms","2",8,122,26,0.961748633879781,0.977973719616978,5,0
"Diatoms","3",8,113,25,0.969026548672566,0.989357245970616,4,2
"Diatoms","4",8,93,21,0.974910394265233,0.996640009253448,3,3
"Diatoms","5",8,109,25,0.971457696228338,0.996177625205758,4,4
"Diatoms","6",8,118,25,0.96382802811079,0.989798930986777,5,3
"Diatoms","7",8,131,23,0.994062765055131,0.999204887685931,1,1
"Diatoms","8",8,115,23,0.987826086956522,0.99929819813913,2,3
"Diatoms","9",8,114,24,0.988835725677831,0.999699756690852,2,4
"Fish","1",8,43,12,0.959302325581395,0.986015916217205,2,1
"Fish","10",8,44,12,0.987762237762238,0.999913515254275,1,3
"Fish","11",8,42,13,0.887387387387387,0.92780325854056,5,1
"Fish","12",8,45,12,0.965432098765432,0.995370679415862,2,2
"Fish","13",8,45,12,0.961111111111111,0.986637431051996,2,1
